game_week,overall_ranking,overall_points,game_week_rankings,game_week_points,bench_points,transfers_made,transfer_cost,team_value
GW38,"1,584,903",2248,"2,971,213",64,27,1,0,102.3
GW37,"1,584,466",2184,"50,903",147,15,3,4,101.9
GW36,"2,154,634",2041,"2,676,578",84,18,0,0,102
GW35,"2,295,554",1957,"4,399,298",56,7,4,12,102
GW34,"2,053,007",1913,"1,551,588",104,0,3,4,102.3
GW33,"2,276,312",1813,"3,773,992",66,0,0,0,102.5
GW32,"2,212,896",1747,"4,616,572",58,21,0,0,102.2
GW31,"2,166,677",1689,"3,092,188",58,4,2,4,102.2
GW30,"2,114,675",1635,"1,107,768",66,7,3,4,102.2
GW29,"2,276,483",1573,"5,630,931",10,0,0,0,102.6
GW28,"2,163,379",1563,"7,024,054",38,20,0,0,102.8
GW27,"1,971,667",1525,"2,177,806",76,11,1,0,102.4
GW26,"2,094,699",1449,"1,829,631",61,5,2,0,101.8
GW25,"2,307,362",1388,"6,562,611",69,5,0,0,101.7
GW24,"2,149,866",1319,"476,053",86,8,0,0,102
GW23,"2,691,025",1233,"6,744,266",49,14,0,0,101.9
GW22,"2,256,078",1184,"4,618,722",52,5,2,4,102
GW21,"2,065,563",1136,"5,231,620",47,11,3,4,102.3
GW20,"1,824,235",1093,"3,903,394",67,1,0,0,102.5
GW19,"1,662,046",1026,"4,095,988",41,10,2,4,102.4
GW18,"1,550,988",989,"4,028,447",40,2,1,0,102.2
GW17,"1,445,156",949,"1,607,235",59,2,0,0,102.2
GW16,"1,767,965",890,"4,613,536",43,8,1,0,101.8
GW15,"1,637,400",847,"8,878,324",26,17,0,0,101.6
GW14,"1,259,708",821,"3,950,054",58,4,0,0,102.7
GW13,"1,232,678",763,"1,450,773",57,3,2,0,102.4
GW12,"1,618,953",706,"2,678,515",73,4,0,0,102.2
GW11,"1,804,959",633,"5,370,489",31,5,1,0,102.1
GW10,"1,815,210",602,"1,087,886",82,6,2,0,101.5
GW9,"2,652,520",520,"5,719,291",64,2,0,0,101.5
GW8,"2,048,557",456,"2,340,313",53,9,2,0,101.4
GW7,"2,638,199",403,"3,886,585",52,14,1,0,101
GW6,"2,859,995",351,"3,257,813",74,16,0,0,100.7
GW5,"3,227,321",277,"1,024,149",56,16,1,0,100.6
GW4,"4,460,966",221,"6,719,126",68,4,1,0,100.6
GW3,"3,902,725",153,"7,409,340",35,15,1,0,100.4
GW2,"2,661,268",118,"4,684,189",44,19,1,0,100.1
GW1,"1,871,592",74,"1,871,592",74,8,0,0,100
